username,model_id,model_label,ai_total,baseline_total,diff,abs_diff
S002,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S003,deepseek-v4-flash,DeepSeek V4 Flash,7.0,7.0,0.0,0.0
S004,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S005,deepseek-v4-flash,DeepSeek V4 Flash,7.0,8.0,-1.0,1.0
S006,deepseek-v4-flash,DeepSeek V4 Flash,8.0,8.0,0.0,0.0
S007,deepseek-v4-flash,DeepSeek V4 Flash,4.0,6.0,-2.0,2.0
S008,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S010,deepseek-v4-flash,DeepSeek V4 Flash,7.0,8.0,-1.0,1.0
S012,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S013,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S014,deepseek-v4-flash,DeepSeek V4 Flash,6.0,5.0,1.0,1.0
S015,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S016,deepseek-v4-flash,DeepSeek V4 Flash,2.0,3.0,-1.0,1.0
S017,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S018,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S019,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S020,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S021,deepseek-v4-flash,DeepSeek V4 Flash,4.0,4.0,0.0,0.0
S022,deepseek-v4-flash,DeepSeek V4 Flash,5.0,6.0,-1.0,1.0
S023,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S024,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S027,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S029,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S030,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S031,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S034,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S035,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S036,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S037,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S038,deepseek-v4-flash,DeepSeek V4 Flash,3.0,6.0,-3.0,3.0
S039,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S040,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S041,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S042,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S043,deepseek-v4-flash,DeepSeek V4 Flash,5.0,5.0,0.0,0.0
S044,deepseek-v4-flash,DeepSeek V4 Flash,8.0,8.0,0.0,0.0
S045,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S046,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S047,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S048,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S049,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S050,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S051,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S052,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S053,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S054,deepseek-v4-flash,DeepSeek V4 Flash,4.0,5.0,-1.0,1.0
S055,deepseek-v4-flash,DeepSeek V4 Flash,8.0,10.0,-2.0,2.0
S056,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S057,deepseek-v4-flash,DeepSeek V4 Flash,7.0,9.0,-2.0,2.0
S058,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S059,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S060,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S062,deepseek-v4-flash,DeepSeek V4 Flash,6.0,6.0,0.0,0.0
S063,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S064,deepseek-v4-flash,DeepSeek V4 Flash,5.0,5.0,0.0,0.0
S065,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S066,deepseek-v4-flash,DeepSeek V4 Flash,8.0,8.0,0.0,0.0
S067,deepseek-v4-flash,DeepSeek V4 Flash,8.0,10.0,-2.0,2.0
S068,deepseek-v4-flash,DeepSeek V4 Flash,6.0,7.0,-1.0,1.0
S069,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S070,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S071,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S072,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S073,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S074,deepseek-v4-flash,DeepSeek V4 Flash,7.0,7.0,0.0,0.0
S075,deepseek-v4-flash,DeepSeek V4 Flash,5.0,6.0,-1.0,1.0
S076,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S077,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S079,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S080,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S081,deepseek-v4-flash,DeepSeek V4 Flash,1.0,5.0,-4.0,4.0
S082,deepseek-v4-flash,DeepSeek V4 Flash,7.0,10.0,-3.0,3.0
S084,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S085,deepseek-v4-flash,DeepSeek V4 Flash,7.0,7.0,0.0,0.0
S086,deepseek-v4-flash,DeepSeek V4 Flash,6.0,6.0,0.0,0.0
S087,deepseek-v4-flash,DeepSeek V4 Flash,8.0,8.0,0.0,0.0
S088,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S089,deepseek-v4-flash,DeepSeek V4 Flash,8.0,8.0,0.0,0.0
S090,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S091,deepseek-v4-flash,DeepSeek V4 Flash,8.0,8.0,0.0,0.0
S092,deepseek-v4-flash,DeepSeek V4 Flash,6.0,8.0,-2.0,2.0
S093,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S094,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S095,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S097,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S098,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S099,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S100,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S101,deepseek-v4-flash,DeepSeek V4 Flash,10.0,9.0,1.0,1.0
S102,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S103,deepseek-v4-flash,DeepSeek V4 Flash,9.0,9.0,0.0,0.0
S104,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S105,deepseek-v4-flash,DeepSeek V4 Flash,3.0,4.0,-1.0,1.0
S106,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S107,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S108,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S109,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S110,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S111,deepseek-v4-flash,DeepSeek V4 Flash,10.0,9.0,1.0,1.0
S112,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S113,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S114,deepseek-v4-flash,DeepSeek V4 Flash,7.0,9.0,-2.0,2.0
S115,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S116,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S117,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S118,deepseek-v4-flash,DeepSeek V4 Flash,6.0,7.0,-1.0,1.0
S119,deepseek-v4-flash,DeepSeek V4 Flash,10.0,10.0,0.0,0.0
S120,deepseek-v4-flash,DeepSeek V4 Flash,8.0,9.0,-1.0,1.0
S121,deepseek-v4-flash,DeepSeek V4 Flash,8.0,10.0,-2.0,2.0
S122,deepseek-v4-flash,DeepSeek V4 Flash,5.0,6.0,-1.0,1.0
S123,deepseek-v4-flash,DeepSeek V4 Flash,7.0,7.0,0.0,0.0
S124,deepseek-v4-flash,DeepSeek V4 Flash,9.0,10.0,-1.0,1.0
S125,deepseek-v4-flash,DeepSeek V4 Flash,3.5,5.0,-1.5,1.5
S126,deepseek-v4-flash,DeepSeek V4 Flash,8.0,8.0,0.0,0.0
S128,deepseek-v4-flash,DeepSeek V4 Flash,0.0,2.0,-2.0,2.0
S002,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S003,deepseek-v4-pro,DeepSeek V4 Pro,7.0,7.0,0.0,0.0
S004,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S005,deepseek-v4-pro,DeepSeek V4 Pro,7.0,8.0,-1.0,1.0
S006,deepseek-v4-pro,DeepSeek V4 Pro,8.0,8.0,0.0,0.0
S007,deepseek-v4-pro,DeepSeek V4 Pro,4.0,6.0,-2.0,2.0
S008,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S010,deepseek-v4-pro,DeepSeek V4 Pro,6.5,8.0,-1.5,1.5
S012,deepseek-v4-pro,DeepSeek V4 Pro,7.5,9.0,-1.5,1.5
S013,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S014,deepseek-v4-pro,DeepSeek V4 Pro,5.0,5.0,0.0,0.0
S015,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S016,deepseek-v4-pro,DeepSeek V4 Pro,1.5,3.0,-1.5,1.5
S017,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S018,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S019,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S020,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S021,deepseek-v4-pro,DeepSeek V4 Pro,3.0,4.0,-1.0,1.0
S022,deepseek-v4-pro,DeepSeek V4 Pro,5.0,6.0,-1.0,1.0
S023,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S024,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S027,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S029,deepseek-v4-pro,DeepSeek V4 Pro,8.0,9.0,-1.0,1.0
S030,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S031,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S034,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S035,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S036,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S037,deepseek-v4-pro,DeepSeek V4 Pro,6.5,9.0,-2.5,2.5
S038,deepseek-v4-pro,DeepSeek V4 Pro,2.5,6.0,-3.5,3.5
S039,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S040,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S041,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S042,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S043,deepseek-v4-pro,DeepSeek V4 Pro,4.5,5.0,-0.5,0.5
S044,deepseek-v4-pro,DeepSeek V4 Pro,7.5,8.0,-0.5,0.5
S045,deepseek-v4-pro,DeepSeek V4 Pro,9.5,9.0,0.5,0.5
S046,deepseek-v4-pro,DeepSeek V4 Pro,7.5,9.0,-1.5,1.5
S047,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S048,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S049,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S050,deepseek-v4-pro,DeepSeek V4 Pro,8.5,10.0,-1.5,1.5
S051,deepseek-v4-pro,DeepSeek V4 Pro,8.0,9.0,-1.0,1.0
S052,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S053,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S054,deepseek-v4-pro,DeepSeek V4 Pro,4.0,5.0,-1.0,1.0
S055,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S056,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S057,deepseek-v4-pro,DeepSeek V4 Pro,6.5,9.0,-2.5,2.5
S058,deepseek-v4-pro,DeepSeek V4 Pro,8.0,9.0,-1.0,1.0
S059,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S060,deepseek-v4-pro,DeepSeek V4 Pro,8.0,9.0,-1.0,1.0
S062,deepseek-v4-pro,DeepSeek V4 Pro,6.0,6.0,0.0,0.0
S063,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S064,deepseek-v4-pro,DeepSeek V4 Pro,4.5,5.0,-0.5,0.5
S065,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S066,deepseek-v4-pro,DeepSeek V4 Pro,7.5,8.0,-0.5,0.5
S067,deepseek-v4-pro,DeepSeek V4 Pro,7.0,10.0,-3.0,3.0
S068,deepseek-v4-pro,DeepSeek V4 Pro,7.5,7.0,0.5,0.5
S069,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S070,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S071,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S072,deepseek-v4-pro,DeepSeek V4 Pro,8.5,10.0,-1.5,1.5
S073,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S074,deepseek-v4-pro,DeepSeek V4 Pro,7.0,7.0,0.0,0.0
S075,deepseek-v4-pro,DeepSeek V4 Pro,4.5,6.0,-1.5,1.5
S076,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S077,deepseek-v4-pro,DeepSeek V4 Pro,8.0,9.0,-1.0,1.0
S079,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S080,deepseek-v4-pro,DeepSeek V4 Pro,8.0,10.0,-2.0,2.0
S081,deepseek-v4-pro,DeepSeek V4 Pro,3.0,5.0,-2.0,2.0
S082,deepseek-v4-pro,DeepSeek V4 Pro,8.0,10.0,-2.0,2.0
S084,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S085,deepseek-v4-pro,DeepSeek V4 Pro,7.0,7.0,0.0,0.0
S086,deepseek-v4-pro,DeepSeek V4 Pro,6.0,6.0,0.0,0.0
S087,deepseek-v4-pro,DeepSeek V4 Pro,7.0,8.0,-1.0,1.0
S088,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S089,deepseek-v4-pro,DeepSeek V4 Pro,8.5,8.0,0.5,0.5
S090,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S091,deepseek-v4-pro,DeepSeek V4 Pro,8.0,8.0,0.0,0.0
S092,deepseek-v4-pro,DeepSeek V4 Pro,5.5,8.0,-2.5,2.5
S093,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S094,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S095,deepseek-v4-pro,DeepSeek V4 Pro,7.5,9.0,-1.5,1.5
S097,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S098,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S099,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S100,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S101,deepseek-v4-pro,DeepSeek V4 Pro,9.5,9.0,0.5,0.5
S102,deepseek-v4-pro,DeepSeek V4 Pro,10.0,9.0,1.0,1.0
S103,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S104,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S105,deepseek-v4-pro,DeepSeek V4 Pro,3.0,4.0,-1.0,1.0
S106,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S107,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S108,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S109,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S110,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S111,deepseek-v4-pro,DeepSeek V4 Pro,9.0,9.0,0.0,0.0
S112,deepseek-v4-pro,DeepSeek V4 Pro,10.0,10.0,0.0,0.0
S113,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S114,deepseek-v4-pro,DeepSeek V4 Pro,7.5,9.0,-1.5,1.5
S115,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S116,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S117,deepseek-v4-pro,DeepSeek V4 Pro,9.5,10.0,-0.5,0.5
S118,deepseek-v4-pro,DeepSeek V4 Pro,6.5,7.0,-0.5,0.5
S119,deepseek-v4-pro,DeepSeek V4 Pro,9.0,10.0,-1.0,1.0
S120,deepseek-v4-pro,DeepSeek V4 Pro,8.5,9.0,-0.5,0.5
S121,deepseek-v4-pro,DeepSeek V4 Pro,7.0,10.0,-3.0,3.0
S122,deepseek-v4-pro,DeepSeek V4 Pro,6.0,6.0,0.0,0.0
S123,deepseek-v4-pro,DeepSeek V4 Pro,7.5,7.0,0.5,0.5
S124,deepseek-v4-pro,DeepSeek V4 Pro,8.0,10.0,-2.0,2.0
S125,deepseek-v4-pro,DeepSeek V4 Pro,3.5,5.0,-1.5,1.5
S126,deepseek-v4-pro,DeepSeek V4 Pro,8.0,8.0,0.0,0.0
S128,deepseek-v4-pro,DeepSeek V4 Pro,0.0,2.0,-2.0,2.0
