experiment_id,exam_key,preset,contest_id,question_id,question_order,question_type,max_score,answer_count,scored_count,blank_score_count,model_id,run_status,terminal_event_type,started_at,ended_at,elapsed_seconds,input_tokens,output_tokens,cost_cents,cost_usd,session_id,run_id,prompt_preview,run_dir,grade_csv_path,rubric_path,_summary_path,question_label,model_label,tokens_total,cost_per_answer_cents,seconds_per_answer,grade_csv_abs_path,run_dir_abs_path
exam2-diverse-flash-pro-dataset-20260526-123806,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,6,short_answer,4,116,116,0,deepseek-v4-flash,completed,run_completed,2026-05-26T04:38:06.899669Z,2026-05-26T04:40:47.655732Z,160.755,678610,18186,10,0.1,68252a09-fade-4d83-9cf2-5b8a53fcbf8c,18b799ef-ed04-4bf2-9d01-3a86316a8bbe,List four methods to notify a receiver in a non-blocking message passing system that a message has arrived.,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-flash,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-flash/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/summary.csv,Q6 List methods,DeepSeek V4 Flash,696796,0.08620689655172414,1.3858189655172413,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-flash
exam2-diverse-flash-pro-dataset-20260526-123806,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,6,short_answer,4,116,116,0,deepseek-v4-pro,completed,run_completed,2026-05-26T04:40:47.681656Z,2026-05-26T04:44:55.350354Z,247.666,620254,13721,28,0.28,b74dce0b-f1cb-4c22-9be0-2ac9fa802964,64fc13ec-c162-45ea-9517-1592ce74a8c5,List four methods to notify a receiver in a non-blocking message passing system that a message has arrived.,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-pro,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-pro/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/summary.csv,Q6 List methods,DeepSeek V4 Pro,633975,0.2413793103448276,2.135051724137931,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/deepseek-v4-pro
exam2-diverse-openai-mini-medium-dataset-20260526-150913,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,6,short_answer,4,116,116,0,openai-mini,completed,run_completed,2026-05-26T07:09:14.756622Z,2026-05-26T07:10:59.883881Z,105.126,431934,5011,35,0.35,a843ad81-38b7-4ee3-a2df-886b79733960,88211967-924b-4b13-96e8-6beae2fb0ebc,List four methods to notify a receiver in a non-blocking message passing system that a message has arrived.,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/summary.csv,Q6 List methods,OpenAI Mini (low),436945,0.3017241379310345,0.9062586206896552,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini
exam2-diverse-openai-mini-medium-dataset-20260526-150913,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,6,short_answer,4,116,116,0,openai-mini-medium,completed,run_completed,2026-05-26T07:10:59.888097Z,2026-05-26T07:12:50.840476Z,110.951,322856,9989,29,0.29,e4ea504c-0d4e-4f57-b49e-df030051cb53,50bf250c-c98d-4261-9d8f-0f49efb07b1c,List four methods to notify a receiver in a non-blocking message passing system that a message has arrived.,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini-medium,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini-medium/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini-medium/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/summary.csv,Q6 List methods,OpenAI Mini (medium),332845,0.25,0.9564741379310344,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini-medium/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/5b9d59d3-4c5a-44ff-81ff-932d69c8cf82/openai-mini-medium
exam2-diverse-flash-pro-dataset-20260526-123806,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,a89c0767-a955-4b8d-927f-d01e3d954cc0,14,short_answer,2,118,118,0,deepseek-v4-flash,completed,run_completed,2026-05-26T04:44:55.364764Z,2026-05-26T04:47:57.117432Z,181.751,592992,23628,9,0.09,392d1b38-7a19-419c-be7f-55c5ec261fe2,955b5ae3-15ea-457d-9395-b35bb48f9bab,Explain the Cache Coherence problem and the basic rules a system must follow when a CPU wants to write a cached word.,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-flash,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-flash/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/summary.csv,Q14 Explain coherence,DeepSeek V4 Flash,616620,0.07627118644067797,1.5402627118644068,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-flash
exam2-diverse-flash-pro-dataset-20260526-123806,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,a89c0767-a955-4b8d-927f-d01e3d954cc0,14,short_answer,2,118,118,0,deepseek-v4-pro,completed,run_completed,2026-05-26T04:47:57.137929Z,2026-05-26T04:54:57.406269Z,420.265,511592,26214,25,0.25,fa03f32f-dba4-4416-bd33-120018abed45,a8001982-fcee-4e85-a92d-d311824ab1b1,Explain the Cache Coherence problem and the basic rules a system must follow when a CPU wants to write a cached word.,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-pro,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-pro/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/summary.csv,Q14 Explain coherence,DeepSeek V4 Pro,537806,0.211864406779661,3.5615677966101695,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/deepseek-v4-pro
exam2-diverse-openai-mini-medium-dataset-20260526-150913,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,a89c0767-a955-4b8d-927f-d01e3d954cc0,14,short_answer,2,118,118,0,openai-mini,completed,run_completed,2026-05-26T07:12:50.853989Z,2026-05-26T07:14:18.032836Z,87.178,236196,5871,20,0.2,9624a083-0a6d-4a47-b9f4-99fcc558145b,89f9e1a9-ea51-4e16-935a-5d9d9f553f6c,Explain the Cache Coherence problem and the basic rules a system must follow when a CPU wants to write a cached word.,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/summary.csv,Q14 Explain coherence,OpenAI Mini (low),242067,0.1694915254237288,0.7387966101694915,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini
exam2-diverse-openai-retry-q14-medium-r300-20260526-154207,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,a89c0767-a955-4b8d-927f-d01e3d954cc0,14,short_answer,2,118,118,0,openai-mini-medium,completed,run_completed,2026-05-26T07:42:07.787456Z,2026-05-26T07:45:30.176510Z,202.386,809484,9540,65,0.65,1c878558-f736-4985-92b3-f66ba7a34e2d,df35932f-10b3-42c6-be5f-9e00118ab21a,Explain the Cache Coherence problem and the basic rules a system must follow when a CPU wants to write a cached word.,reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q14-medium-r300-20260526-154207/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini-medium,reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q14-medium-r300-20260526-154207/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini-medium/grade.csv,,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q14-medium-r300-20260526-154207/summary.csv,Q14 Explain coherence,OpenAI Mini (medium),819024,0.5508474576271186,1.715135593220339,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q14-medium-r300-20260526-154207/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini-medium/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q14-medium-r300-20260526-154207/runs/a89c0767-a955-4b8d-927f-d01e3d954cc0/openai-mini-medium
exam2-diverse-flash-pro-dataset-20260526-123806,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,8bd69984-3cd8-48b1-9da3-4c040620959e,17,short_answer,4,119,119,0,deepseek-v4-flash,completed,run_completed,2026-05-26T04:54:57.445456Z,2026-05-26T04:59:29.038720Z,271.591,663452,39628,10,0.1,b7f48f40-ed6e-4acb-be69-32eb44ebfdd2,46e09881-f9e2-4b10-91f4-38e422fca88e,Provide two advantages and two disadvantages of a Master-Slave architecture for multiprocessors.,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-flash,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-flash/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/summary.csv,Q17 Adv./Disadv.,DeepSeek V4 Flash,703080,0.08403361344537816,2.28227731092437,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-flash
exam2-diverse-flash-pro-dataset-20260526-123806,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,8bd69984-3cd8-48b1-9da3-4c040620959e,17,short_answer,4,119,119,0,deepseek-v4-pro,completed,run_completed,2026-05-26T04:59:29.077486Z,2026-05-26T05:04:23.666244Z,294.586,411558,18458,20,0.2,05044756-0146-4053-b14d-dc9e17f9bd50,9eb4a3e1-d66f-405a-b805-0865dd104bd1,Provide two advantages and two disadvantages of a Master-Slave architecture for multiprocessors.,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-pro,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-pro/rubric.md,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/summary.csv,Q17 Adv./Disadv.,DeepSeek V4 Pro,430016,0.16806722689075632,2.475512605042017,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-flash-pro-dataset-20260526-123806/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/deepseek-v4-pro
exam2-diverse-openai-retry-q17-mini-r200-20260526-153251,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,8bd69984-3cd8-48b1-9da3-4c040620959e,17,short_answer,4,119,119,0,openai-mini,completed,run_completed,2026-05-26T07:32:52.348526Z,2026-05-26T07:34:04.513063Z,72.163,196211,6108,17,0.17,cf598a86-aeee-4c67-8844-ae52a25ddbce,5145e83e-4a35-4a52-ac3c-a338434ffcd1,Provide two advantages and two disadvantages of a Master-Slave architecture for multiprocessors.,reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q17-mini-r200-20260526-153251/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini,reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q17-mini-r200-20260526-153251/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini/grade.csv,,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q17-mini-r200-20260526-153251/summary.csv,Q17 Adv./Disadv.,OpenAI Mini (low),202319,0.14285714285714285,0.6064117647058823,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q17-mini-r200-20260526-153251/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-retry-q17-mini-r200-20260526-153251/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini
exam2-diverse-openai-mini-medium-dataset-20260526-150913,exam2,exam2-diverse,10ad193f-5113-456a-808a-4d20e057203d,8bd69984-3cd8-48b1-9da3-4c040620959e,17,short_answer,4,119,119,0,openai-mini-medium,completed,run_completed,2026-05-26T07:19:08.885624Z,2026-05-26T07:21:39.860091Z,150.972,363003,10442,32,0.32,59731440-dbe9-4a3d-8d0b-59781f24fc34,690b3ea6-95dc-40bf-9b52-cc147b68de19,Provide two advantages and two disadvantages of a Master-Slave architecture for multiprocessors.,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini-medium,reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini-medium/grade.csv,,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/summary.csv,Q17 Adv./Disadv.,OpenAI Mini (medium),373445,0.2689075630252101,1.2686722689075631,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini-medium/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam2-diverse-openai-mini-medium-dataset-20260526-150913/runs/8bd69984-3cd8-48b1-9da3-4c040620959e/openai-mini-medium
