question_id,question_order,model_id,model_label,answer_count,elapsed_seconds,cost_cents,input_tokens,output_tokens,prompt_preview,seconds_per_answer,cost_per_answer_cents
8c09a796-304f-491d-910b-126c7178a25d,0,deepseek-v4-flash,DeepSeek V4 Flash,110,123.0,4,269640,17393,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?,1.1181818181818182,0.03636363636363636
8c09a796-304f-491d-910b-126c7178a25d,0,deepseek-v4-pro,DeepSeek V4 Pro,110,224.0,14,302819,13493,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?,2.036363636363636,0.12727272727272726
d84cb3ab-a1d9-4f09-9ae9-78c9411ccb46,1,deepseek-v4-flash,DeepSeek V4 Flash,118,166.0,12,796406,19568,Describe the three main types of redundancy used to achieve fault tolerance.,1.4067796610169492,0.1016949152542373
d84cb3ab-a1d9-4f09-9ae9-78c9411ccb46,1,deepseek-v4-pro,DeepSeek V4 Pro,118,299.0,34,731789,18437,Describe the three main types of redundancy used to achieve fault tolerance.,2.5338983050847457,0.288135593220339
9bdf83bb-ecc7-4de2-b1c0-35a83aa6580e,2,deepseek-v4-flash,DeepSeek V4 Flash,118,330.0,11,666457,55179,Identify two major differences between a traditional Multiprocessor (MP) and a Chip-level Multiprocessor (CMP).,2.7966101694915255,0.09322033898305085
9bdf83bb-ecc7-4de2-b1c0-35a83aa6580e,2,deepseek-v4-pro,DeepSeek V4 Pro,118,295.0,25,531980,15659,Identify two major differences between a traditional Multiprocessor (MP) and a Chip-level Multiprocessor (CMP).,2.5,0.211864406779661
b8fea8c6-21b2-4e68-8da7-540504d18b30,3,deepseek-v4-flash,DeepSeek V4 Flash,115,112.0,7,506044,12999,"How does affinity scheduling impact cache misses, TLB misses, and page faults in a multiprocessor system?",0.9739130434782609,0.06086956521739131
b8fea8c6-21b2-4e68-8da7-540504d18b30,3,deepseek-v4-pro,DeepSeek V4 Pro,115,292.0,18,363556,18229,"How does affinity scheduling impact cache misses, TLB misses, and page faults in a multiprocessor system?",2.5391304347826087,0.1565217391304348
de117ea3-bbad-4bd2-9aff-86840d03ef2d,4,deepseek-v4-flash,DeepSeek V4 Flash,116,159.0,9,624051,21543,"Define Access Transparency, Location Transparency, and Replication Transparency in distributed systems.",1.3706896551724137,0.07758620689655173
de117ea3-bbad-4bd2-9aff-86840d03ef2d,4,deepseek-v4-pro,DeepSeek V4 Pro,116,344.0,23,472239,22195,"Define Access Transparency, Location Transparency, and Replication Transparency in distributed systems.",2.9655172413793105,0.19827586206896552
df612ec1-2475-4919-9f33-0fc639c9507a,5,deepseek-v4-flash,DeepSeek V4 Flash,119,133.0,5,293734,20256,Compare the number of switches required for a crossbar network versus an Omega network for n CPUs and n memory modules.,1.1176470588235294,0.04201680672268908
df612ec1-2475-4919-9f33-0fc639c9507a,5,deepseek-v4-pro,DeepSeek V4 Pro,119,228.0,27,595467,12380,Compare the number of switches required for a crossbar network versus an Omega network for n CPUs and n memory modules.,1.915966386554622,0.226890756302521
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,6,deepseek-v4-flash,DeepSeek V4 Flash,116,126.0,7,491530,14657,List four methods to notify a receiver in a non-blocking message passing system that a message has arrived.,1.0862068965517242,0.0603448275862069
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,6,deepseek-v4-pro,DeepSeek V4 Pro,116,312.0,29,630897,19445,List four methods to notify a receiver in a non-blocking message passing system that a message has arrived.,2.689655172413793,0.25
c0681a88-9d0b-4390-a509-4814a70e67fd,7,deepseek-v4-flash,DeepSeek V4 Flash,117,138.0,14,982352,13556,Compare Sender-Initiated (SI-LB) and Receiver-Initiated (RI-LB) Load Balancing algorithms. Which one maintains performan,1.1794871794871795,0.11965811965811966
c0681a88-9d0b-4390-a509-4814a70e67fd,7,deepseek-v4-pro,DeepSeek V4 Pro,117,346.0,46,1009819,20715,Compare Sender-Initiated (SI-LB) and Receiver-Initiated (RI-LB) Load Balancing algorithms. Which one maintains performan,2.9572649572649574,0.39316239316239315
d8e28def-51f9-4f18-b828-1e458ebf90f2,8,deepseek-v4-flash,DeepSeek V4 Flash,116,102.0,4,224839,14670,"While using the Test-and-Set-Lock (TSL) instruction for mutex locks in MPs may cause system bus contention, please sugge",0.8793103448275862,0.034482758620689655
d8e28def-51f9-4f18-b828-1e458ebf90f2,8,deepseek-v4-pro,DeepSeek V4 Pro,116,213.0,28,611290,12291,"While using the Test-and-Set-Lock (TSL) instruction for mutex locks in MPs may cause system bus contention, please sugge",1.8362068965517242,0.2413793103448276
37861c97-e01d-4371-a51e-bd04e4cfd84d,9,deepseek-v4-flash,DeepSeek V4 Flash,120,137.0,4,214747,21051,"In multicasting systems, specify the meaning of 0-reliable and M-out-of-N-reliable semantics.",1.1416666666666666,0.03333333333333333
37861c97-e01d-4371-a51e-bd04e4cfd84d,9,deepseek-v4-pro,DeepSeek V4 Pro,120,315.0,32,699789,18251,"In multicasting systems, specify the meaning of 0-reliable and M-out-of-N-reliable semantics.",2.625,0.26666666666666666
a94192ac-fcd6-4d22-a85f-0650a6e3d742,10,deepseek-v4-flash,DeepSeek V4 Flash,113,99.0,3,207007,12270,Explain how a channel-based publish/subscribe system can be implemented using group communication.,0.8761061946902655,0.02654867256637168
a94192ac-fcd6-4d22-a85f-0650a6e3d742,10,deepseek-v4-pro,DeepSeek V4 Pro,113,262.0,24,504163,15497,Explain how a channel-based publish/subscribe system can be implemented using group communication.,2.3185840707964602,0.21238938053097345
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,deepseek-v4-flash,DeepSeek V4 Flash,118,94.0,3,204502,12520,"In an SMP system, under what conditions is it more appropriate to use a spin lock versus a blocking lock?",0.7966101694915254,0.025423728813559324
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,deepseek-v4-pro,DeepSeek V4 Pro,118,240.0,20,431153,15170,"In an SMP system, under what conditions is it more appropriate to use a spin lock versus a blocking lock?",2.0338983050847457,0.1694915254237288
f1a002fc-be46-42b5-8f42-958c06c6cd46,12,deepseek-v4-flash,DeepSeek V4 Flash,119,102.0,7,457977,13220,What are the three basic architectural approaches for Multiprocessor Operating Systems?,0.8571428571428571,0.058823529411764705
f1a002fc-be46-42b5-8f42-958c06c6cd46,12,deepseek-v4-pro,DeepSeek V4 Pro,119,258.0,29,633466,16858,What are the three basic architectural approaches for Multiprocessor Operating Systems?,2.168067226890756,0.24369747899159663
9ec3f4b7-57c6-41f8-bdc2-abd8b9614be7,13,deepseek-v4-flash,DeepSeek V4 Flash,119,155.0,7,453385,22441,List four common failures that may happen during a Remote Procedure Call (RPC).,1.3025210084033614,0.058823529411764705
9ec3f4b7-57c6-41f8-bdc2-abd8b9614be7,13,deepseek-v4-pro,DeepSeek V4 Pro,119,326.0,19,388122,19822,List four common failures that may happen during a Remote Procedure Call (RPC).,2.7394957983193278,0.15966386554621848
a89c0767-a955-4b8d-927f-d01e3d954cc0,14,deepseek-v4-flash,DeepSeek V4 Flash,118,121.0,6,389761,15329,Explain the Cache Coherence problem and the basic rules a system must follow when a CPU wants to write a cached word.,1.0254237288135593,0.05084745762711865
a89c0767-a955-4b8d-927f-d01e3d954cc0,14,deepseek-v4-pro,DeepSeek V4 Pro,118,402.0,38,818629,24942,Explain the Cache Coherence problem and the basic rules a system must follow when a CPU wants to write a cached word.,3.406779661016949,0.3220338983050847
e74dd4e1-7f62-4da6-b965-e65834bf10fc,15,deepseek-v4-flash,DeepSeek V4 Flash,118,91.0,3,190367,14112,State three major advantages of the Publish/Subscribe middleware model over Point-to-Point communication.,0.7711864406779662,0.025423728813559324
e74dd4e1-7f62-4da6-b965-e65834bf10fc,15,deepseek-v4-pro,DeepSeek V4 Pro,118,297.0,33,712767,18374,State three major advantages of the Publish/Subscribe middleware model over Point-to-Point communication.,2.516949152542373,0.2796610169491525
8edb59fe-821f-4597-a8e4-0bb11146517d,16,deepseek-v4-flash,DeepSeek V4 Flash,118,111.0,7,480125,15843,Demonstrate how a counting semaphore initialized to N can be implemented using the Linda coordination language.,0.940677966101695,0.059322033898305086
8edb59fe-821f-4597-a8e4-0bb11146517d,16,deepseek-v4-pro,DeepSeek V4 Pro,118,223.0,21,443786,12393,Demonstrate how a counting semaphore initialized to N can be implemented using the Linda coordination language.,1.8898305084745763,0.17796610169491525
8bd69984-3cd8-48b1-9da3-4c040620959e,17,deepseek-v4-flash,DeepSeek V4 Flash,119,461.0,9,613662,25194,Provide two advantages and two disadvantages of a Master-Slave architecture for multiprocessors.,3.8739495798319328,0.07563025210084033
8bd69984-3cd8-48b1-9da3-4c040620959e,17,deepseek-v4-pro,DeepSeek V4 Pro,119,480.0,34,728311,19744,Provide two advantages and two disadvantages of a Master-Slave architecture for multiprocessors.,4.033613445378151,0.2857142857142857
e7ffda48-61f1-4aad-8337-1ba266c0c951,18,deepseek-v4-flash,DeepSeek V4 Flash,116,270.0,8,557676,19498,Why are non-blocking operations less prone to deadlock?,2.3275862068965516,0.06896551724137931
e7ffda48-61f1-4aad-8337-1ba266c0c951,18,deepseek-v4-pro,DeepSeek V4 Pro,116,223.0,11,226508,13399,Why are non-blocking operations less prone to deadlock?,1.9224137931034482,0.09482758620689655
