subject_id,model_id,ai_score,human_score,diff,abs_diff
S002,deepseek-v4-flash,46.0,50.0,-4.0,4.0
S002,deepseek-v4-pro,49.0,50.0,-1.0,1.0
S003,deepseek-v4-flash,42.5,47.0,-4.5,4.5
S003,deepseek-v4-pro,40.0,47.0,-7.0,7.0
S004,deepseek-v4-flash,50.0,51.5,-1.5,1.5
S004,deepseek-v4-pro,49.0,51.5,-2.5,2.5
S005,deepseek-v4-flash,40.5,45.0,-4.5,4.5
S005,deepseek-v4-pro,39.0,45.0,-6.0,6.0
S006,deepseek-v4-flash,38.0,42.0,-4.0,4.0
S006,deepseek-v4-pro,39.0,42.0,-3.0,3.0
S007,deepseek-v4-flash,37.0,43.0,-6.0,6.0
S007,deepseek-v4-pro,34.0,43.0,-9.0,9.0
S008,deepseek-v4-flash,48.0,48.0,0.0,0.0
S008,deepseek-v4-pro,47.5,48.0,-0.5,0.5
S009,deepseek-v4-flash,20.5,27.0,-6.5,6.5
S009,deepseek-v4-pro,19.5,27.0,-7.5,7.5
S010,deepseek-v4-flash,43.5,48.0,-4.5,4.5
S010,deepseek-v4-pro,41.5,48.0,-6.5,6.5
S011,deepseek-v4-flash,3.0,3.0,0.0,0.0
S011,deepseek-v4-pro,2.0,3.0,-1.0,1.0
S012,deepseek-v4-flash,40.0,45.0,-5.0,5.0
S012,deepseek-v4-pro,40.5,45.0,-4.5,4.5
S013,deepseek-v4-flash,45.0,50.0,-5.0,5.0
S013,deepseek-v4-pro,42.5,50.0,-7.5,7.5
S014,deepseek-v4-flash,29.0,35.5,-6.5,6.5
S014,deepseek-v4-pro,27.0,35.5,-8.5,8.5
S015,deepseek-v4-flash,44.0,48.0,-4.0,4.0
S015,deepseek-v4-pro,42.5,48.0,-5.5,5.5
S016,deepseek-v4-flash,37.0,40.0,-3.0,3.0
S016,deepseek-v4-pro,36.5,40.0,-3.5,3.5
S017,deepseek-v4-flash,52.0,52.0,0.0,0.0
S017,deepseek-v4-pro,50.0,52.0,-2.0,2.0
S018,deepseek-v4-flash,49.0,52.0,-3.0,3.0
S018,deepseek-v4-pro,48.0,52.0,-4.0,4.0
S019,deepseek-v4-flash,47.0,48.0,-1.0,1.0
S019,deepseek-v4-pro,46.0,48.0,-2.0,2.0
S020,deepseek-v4-flash,46.0,50.5,-4.5,4.5
S020,deepseek-v4-pro,45.0,50.5,-5.5,5.5
S021,deepseek-v4-flash,17.5,18.0,-0.5,0.5
S021,deepseek-v4-pro,15.0,18.0,-3.0,3.0
S022,deepseek-v4-flash,18.5,23.5,-5.0,5.0
S022,deepseek-v4-pro,16.0,23.5,-7.5,7.5
S023,deepseek-v4-flash,46.0,47.5,-1.5,1.5
S023,deepseek-v4-pro,45.5,47.5,-2.0,2.0
S024,deepseek-v4-flash,48.0,50.5,-2.5,2.5
S024,deepseek-v4-pro,46.0,50.5,-4.5,4.5
S027,deepseek-v4-flash,48.0,51.0,-3.0,3.0
S027,deepseek-v4-pro,48.5,51.0,-2.5,2.5
S029,deepseek-v4-flash,39.0,46.0,-7.0,7.0
S029,deepseek-v4-pro,34.0,46.0,-12.0,12.0
S030,deepseek-v4-flash,44.0,49.5,-5.5,5.5
S030,deepseek-v4-pro,44.0,49.5,-5.5,5.5
S031,deepseek-v4-flash,48.0,50.5,-2.5,2.5
S031,deepseek-v4-pro,47.0,50.5,-3.5,3.5
S033,deepseek-v4-flash,31.5,36.5,-5.0,5.0
S033,deepseek-v4-pro,30.0,36.5,-6.5,6.5
S034,deepseek-v4-flash,49.0,50.0,-1.0,1.0
S034,deepseek-v4-pro,47.0,50.0,-3.0,3.0
S035,deepseek-v4-flash,50.0,52.0,-2.0,2.0
S035,deepseek-v4-pro,49.0,52.0,-3.0,3.0
S036,deepseek-v4-flash,45.0,49.0,-4.0,4.0
S036,deepseek-v4-pro,45.0,49.0,-4.0,4.0
S037,deepseek-v4-flash,40.5,43.5,-3.0,3.0
S037,deepseek-v4-pro,37.0,43.5,-6.5,6.5
S038,deepseek-v4-flash,27.5,37.0,-9.5,9.5
S038,deepseek-v4-pro,25.5,37.0,-11.5,11.5
S039,deepseek-v4-flash,43.5,47.5,-4.0,4.0
S039,deepseek-v4-pro,44.0,47.5,-3.5,3.5
S040,deepseek-v4-flash,48.0,51.0,-3.0,3.0
S040,deepseek-v4-pro,48.0,51.0,-3.0,3.0
S041,deepseek-v4-flash,44.5,47.5,-3.0,3.0
S041,deepseek-v4-pro,43.0,47.5,-4.5,4.5
S042,deepseek-v4-flash,46.0,50.0,-4.0,4.0
S042,deepseek-v4-pro,46.0,50.0,-4.0,4.0
S043,deepseek-v4-flash,36.0,42.0,-6.0,6.0
S043,deepseek-v4-pro,36.5,42.0,-5.5,5.5
S044,deepseek-v4-flash,47.0,49.5,-2.5,2.5
S044,deepseek-v4-pro,47.0,49.5,-2.5,2.5
S045,deepseek-v4-flash,48.5,50.5,-2.0,2.0
S045,deepseek-v4-pro,47.5,50.5,-3.0,3.0
S046,deepseek-v4-flash,43.0,48.0,-5.0,5.0
S046,deepseek-v4-pro,40.5,48.0,-7.5,7.5
S047,deepseek-v4-flash,40.5,44.0,-3.5,3.5
S047,deepseek-v4-pro,41.0,44.0,-3.0,3.0
S048,deepseek-v4-flash,47.0,49.0,-2.0,2.0
S048,deepseek-v4-pro,41.0,49.0,-8.0,8.0
S049,deepseek-v4-flash,47.0,50.0,-3.0,3.0
S049,deepseek-v4-pro,46.0,50.0,-4.0,4.0
S050,deepseek-v4-flash,45.5,51.0,-5.5,5.5
S050,deepseek-v4-pro,45.5,51.0,-5.5,5.5
S051,deepseek-v4-flash,37.5,44.5,-7.0,7.0
S051,deepseek-v4-pro,37.0,44.5,-7.5,7.5
S052,deepseek-v4-flash,49.0,50.0,-1.0,1.0
S052,deepseek-v4-pro,50.0,50.0,0.0,0.0
S053,deepseek-v4-flash,48.0,52.0,-4.0,4.0
S053,deepseek-v4-pro,49.0,52.0,-3.0,3.0
S054,deepseek-v4-flash,32.0,35.5,-3.5,3.5
S054,deepseek-v4-pro,27.0,35.5,-8.5,8.5
S055,deepseek-v4-flash,44.0,46.5,-2.5,2.5
S055,deepseek-v4-pro,43.0,46.5,-3.5,3.5
S056,deepseek-v4-flash,51.0,51.0,0.0,0.0
S056,deepseek-v4-pro,47.5,51.0,-3.5,3.5
S057,deepseek-v4-flash,31.0,38.0,-7.0,7.0
S057,deepseek-v4-pro,30.5,38.0,-7.5,7.5
S058,deepseek-v4-flash,43.5,48.5,-5.0,5.0
S058,deepseek-v4-pro,42.5,48.5,-6.0,6.0
S059,deepseek-v4-flash,52.0,51.5,0.5,0.5
S059,deepseek-v4-pro,50.0,51.5,-1.5,1.5
S060,deepseek-v4-flash,38.5,44.5,-6.0,6.0
S060,deepseek-v4-pro,40.0,44.5,-4.5,4.5
S062,deepseek-v4-flash,43.5,47.5,-4.0,4.0
S062,deepseek-v4-pro,43.5,47.5,-4.0,4.0
S063,deepseek-v4-flash,44.5,47.5,-3.0,3.0
S063,deepseek-v4-pro,43.5,47.5,-4.0,4.0
S064,deepseek-v4-flash,32.5,37.5,-5.0,5.0
S064,deepseek-v4-pro,31.0,37.5,-6.5,6.5
S065,deepseek-v4-flash,49.0,51.5,-2.5,2.5
S065,deepseek-v4-pro,49.0,51.5,-2.5,2.5
S066,deepseek-v4-flash,43.0,43.5,-0.5,0.5
S066,deepseek-v4-pro,44.0,43.5,0.5,0.5
S067,deepseek-v4-flash,47.0,51.5,-4.5,4.5
S067,deepseek-v4-pro,46.0,51.5,-5.5,5.5
S068,deepseek-v4-flash,31.0,38.0,-7.0,7.0
S068,deepseek-v4-pro,28.5,38.0,-9.5,9.5
S069,deepseek-v4-flash,50.0,51.5,-1.5,1.5
S069,deepseek-v4-pro,50.0,51.5,-1.5,1.5
S070,deepseek-v4-flash,50.5,50.0,0.5,0.5
S070,deepseek-v4-pro,49.0,50.0,-1.0,1.0
S071,deepseek-v4-flash,48.0,50.0,-2.0,2.0
S071,deepseek-v4-pro,46.0,50.0,-4.0,4.0
S072,deepseek-v4-flash,49.0,52.0,-3.0,3.0
S072,deepseek-v4-pro,49.0,52.0,-3.0,3.0
S073,deepseek-v4-flash,45.0,47.5,-2.5,2.5
S073,deepseek-v4-pro,43.0,47.5,-4.5,4.5
S074,deepseek-v4-flash,36.5,40.5,-4.0,4.0
S074,deepseek-v4-pro,34.0,40.5,-6.5,6.5
S075,deepseek-v4-flash,30.0,38.0,-8.0,8.0
S075,deepseek-v4-pro,28.0,38.0,-10.0,10.0
S076,deepseek-v4-flash,50.0,50.0,0.0,0.0
S076,deepseek-v4-pro,49.0,50.0,-1.0,1.0
S077,deepseek-v4-flash,49.0,50.0,-1.0,1.0
S077,deepseek-v4-pro,45.5,50.0,-4.5,4.5
S078,deepseek-v4-flash,19.5,25.0,-5.5,5.5
S078,deepseek-v4-pro,19.0,25.0,-6.0,6.0
S079,deepseek-v4-flash,40.5,45.5,-5.0,5.0
S079,deepseek-v4-pro,38.0,45.5,-7.5,7.5
S080,deepseek-v4-flash,43.0,47.5,-4.5,4.5
S080,deepseek-v4-pro,41.0,47.5,-6.5,6.5
S081,deepseek-v4-flash,14.5,21.0,-6.5,6.5
S081,deepseek-v4-pro,14.5,21.0,-6.5,6.5
S082,deepseek-v4-flash,46.0,49.0,-3.0,3.0
S082,deepseek-v4-pro,44.0,49.0,-5.0,5.0
S083,deepseek-v4-flash,41.0,47.0,-6.0,6.0
S083,deepseek-v4-pro,43.5,47.0,-3.5,3.5
S084,deepseek-v4-flash,50.0,51.5,-1.5,1.5
S084,deepseek-v4-pro,48.0,51.5,-3.5,3.5
S085,deepseek-v4-flash,48.5,49.0,-0.5,0.5
S085,deepseek-v4-pro,48.0,49.0,-1.0,1.0
S086,deepseek-v4-flash,35.0,38.0,-3.0,3.0
S086,deepseek-v4-pro,35.0,38.0,-3.0,3.0
S087,deepseek-v4-flash,43.0,44.5,-1.5,1.5
S087,deepseek-v4-pro,43.0,44.5,-1.5,1.5
S088,deepseek-v4-flash,46.0,48.0,-2.0,2.0
S088,deepseek-v4-pro,46.0,48.0,-2.0,2.0
S089,deepseek-v4-flash,46.5,49.0,-2.5,2.5
S089,deepseek-v4-pro,45.0,49.0,-4.0,4.0
S090,deepseek-v4-flash,49.0,51.5,-2.5,2.5
S090,deepseek-v4-pro,47.0,51.5,-4.5,4.5
S091,deepseek-v4-flash,35.0,42.0,-7.0,7.0
S091,deepseek-v4-pro,39.0,42.0,-3.0,3.0
S092,deepseek-v4-flash,40.0,49.5,-9.5,9.5
S092,deepseek-v4-pro,41.5,49.5,-8.0,8.0
S093,deepseek-v4-flash,50.5,52.0,-1.5,1.5
S093,deepseek-v4-pro,48.5,52.0,-3.5,3.5
S094,deepseek-v4-flash,41.0,46.0,-5.0,5.0
S094,deepseek-v4-pro,40.0,46.0,-6.0,6.0
S095,deepseek-v4-flash,39.0,46.5,-7.5,7.5
S095,deepseek-v4-pro,33.0,46.5,-13.5,13.5
S097,deepseek-v4-flash,39.0,44.5,-5.5,5.5
S097,deepseek-v4-pro,39.5,44.5,-5.0,5.0
S098,deepseek-v4-flash,43.5,48.0,-4.5,4.5
S098,deepseek-v4-pro,45.0,48.0,-3.0,3.0
S099,deepseek-v4-flash,46.0,48.0,-2.0,2.0
S099,deepseek-v4-pro,45.0,48.0,-3.0,3.0
S100,deepseek-v4-flash,42.5,48.5,-6.0,6.0
S100,deepseek-v4-pro,42.5,48.5,-6.0,6.0
S101,deepseek-v4-flash,48.0,49.5,-1.5,1.5
S101,deepseek-v4-pro,47.0,49.5,-2.5,2.5
S102,deepseek-v4-flash,48.5,51.0,-2.5,2.5
S102,deepseek-v4-pro,48.5,51.0,-2.5,2.5
S103,deepseek-v4-flash,42.5,48.5,-6.0,6.0
S103,deepseek-v4-pro,41.5,48.5,-7.0,7.0
S104,deepseek-v4-flash,50.0,52.0,-2.0,2.0
S104,deepseek-v4-pro,50.0,52.0,-2.0,2.0
S105,deepseek-v4-flash,27.5,33.0,-5.5,5.5
S105,deepseek-v4-pro,23.5,33.0,-9.5,9.5
S106,deepseek-v4-flash,49.0,52.0,-3.0,3.0
S106,deepseek-v4-pro,49.0,52.0,-3.0,3.0
S107,deepseek-v4-flash,46.0,50.0,-4.0,4.0
S107,deepseek-v4-pro,44.5,50.0,-5.5,5.5
S108,deepseek-v4-flash,47.5,48.5,-1.0,1.0
S108,deepseek-v4-pro,43.0,48.5,-5.5,5.5
S109,deepseek-v4-flash,42.5,46.0,-3.5,3.5
S109,deepseek-v4-pro,41.0,46.0,-5.0,5.0
S110,deepseek-v4-flash,45.5,48.5,-3.0,3.0
S110,deepseek-v4-pro,43.5,48.5,-5.0,5.0
S111,deepseek-v4-flash,47.0,50.0,-3.0,3.0
S111,deepseek-v4-pro,46.0,50.0,-4.0,4.0
S112,deepseek-v4-flash,47.0,49.0,-2.0,2.0
S112,deepseek-v4-pro,47.0,49.0,-2.0,2.0
S113,deepseek-v4-flash,51.5,51.0,0.5,0.5
S113,deepseek-v4-pro,50.0,51.0,-1.0,1.0
S114,deepseek-v4-flash,40.0,46.0,-6.0,6.0
S114,deepseek-v4-pro,37.0,46.0,-9.0,9.0
S115,deepseek-v4-flash,43.0,49.5,-6.5,6.5
S115,deepseek-v4-pro,43.0,49.5,-6.5,6.5
S116,deepseek-v4-flash,44.5,48.0,-3.5,3.5
S116,deepseek-v4-pro,42.0,48.0,-6.0,6.0
S117,deepseek-v4-flash,50.0,52.0,-2.0,2.0
S117,deepseek-v4-pro,48.5,52.0,-3.5,3.5
S118,deepseek-v4-flash,30.5,35.0,-4.5,4.5
S118,deepseek-v4-pro,29.0,35.0,-6.0,6.0
S119,deepseek-v4-flash,48.0,50.0,-2.0,2.0
S119,deepseek-v4-pro,45.0,50.0,-5.0,5.0
S120,deepseek-v4-flash,43.5,44.5,-1.0,1.0
S120,deepseek-v4-pro,43.0,44.5,-1.5,1.5
S121,deepseek-v4-flash,45.0,50.5,-5.5,5.5
S121,deepseek-v4-pro,44.0,50.5,-6.5,6.5
S122,deepseek-v4-flash,26.0,32.0,-6.0,6.0
S122,deepseek-v4-pro,27.0,32.0,-5.0,5.0
S123,deepseek-v4-flash,38.5,43.0,-4.5,4.5
S123,deepseek-v4-pro,37.0,43.0,-6.0,6.0
S124,deepseek-v4-flash,46.0,50.0,-4.0,4.0
S124,deepseek-v4-pro,42.5,50.0,-7.5,7.5
S125,deepseek-v4-flash,27.5,30.0,-2.5,2.5
S125,deepseek-v4-pro,27.0,30.0,-3.0,3.0
S126,deepseek-v4-flash,39.0,43.0,-4.0,4.0
S126,deepseek-v4-pro,38.0,43.0,-5.0,5.0
S128,deepseek-v4-flash,0.0,8.0,-8.0,8.0
S128,deepseek-v4-pro,0.5,8.0,-7.5,7.5
