"index","exam_answer_id","username","answer_text","original_score","original_feedback","score","reason","synced"
"1","4844","189","process可以直接讀寫memory，不需要經過CPU，節省CPU time，提升效能","2.00","","2","",""
"2","4617","233","裝置可以直接從記憶體去存取，不用用到cpu","2.00","","2","",""
"3","2875","159","直接存取系統的記憶體","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","僅提到直接存取記憶體，未說明不需 CPU 介入之核心概念",""
"4","2567","93","裝置可以不用透過ＣＰＵ介入 直接讀取傳輸資料","2.00","","2","",""
"5","2551","218","Device上的資料可以透過DMA controller經由memory bus搬到memory中，CPU只需要負責最一開始的基礎設定，這樣CPU就不用親自去搬device上的資料，可以大幅提升CPU的使用率","2.00","","2","",""
"6","4028","127","不須透過CPU便可直接存取記憶體。","2.00","","2","",""
"7","1973","155","DMA is a technique that can transfer data without involving CPU. Hard device can read or write from main memory without involving CPU.","2.00","","2","",""
"8","2704","185","DMA is the technique that allows I/O devices transfer data directly to or from main memory, reducing CPU overhead and improve transfer efficiency.","2.00","","2","",""
"9","4040","212","DMA 是可以讓devices 在沒有cpu 介入下大量transfer data, it saves the cpu time","2.00","","2","",""
"10","2138","98","DMA allows devices to directly read or write on the memory without the need of CPU, making it more efficient to communicate with other devices.","2.00","","2","",""
"11","4044","133","DMA is the technique used by computers transfer data between devices without involing the CPU. DMA allows devices read or write data to or from the main memory. DMA decrease the CPU usage and improve the system performance.","2.00","","2","",""
"12","5160","134","不需經由CPU可直接訪問memory，可節省CPU的使用時間並提高效率","2.00","","2","",""
"13","6614","114","allow devices to access memory directly.","2.00","","2","",""
"14","5165","124","The device can transfer data with memory directly, and doesn't need CPU to intervene for every bytes/words, which is faster and efficient.","2.00","","2","",""
"15","5979","171","Direct Memory Access is a mechanism that bypasses logical memory access and provides direct access to physical memory to ensure smooth paging and context switching.","2.00","","1.5","描述 DMA bypass logical memory access 不精確，DMA bypass 的是 CPU；paging/context switching 非 DMA 核心",""
"16","5191","191","DMA is the technique that DMA controller is responsible for the data transfer between memory and I/O devices. So the CPU is not require to supervise the data transfer.","2.00","","2","",""
"17","6337","179","Direct Memory Access","0.00","","0","僅寫出全稱 Direct Memory Access，無任何描述",""
"18","3433","210","DMA is a way to directly access memory resources without the CPU help.","2.00","","2","",""
"19","6004","151","transfer data between device do not involving CPU, it can read or write data directly to or from the main memory, it is more efficient.","2.00","","2","",""
"20","4843","204","access memory without request to system","0.50","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","0.5","描述過於簡略模糊，未清楚表達 DMA 核心概念",""
"21","4482","138","DMA is a technique that allows hardware devices access system memory directly, without the intervention of the CPU.","2.00","","2","",""
"22","4108","229","可以不須透過CPU，硬體可以直接與MEMORY進行交換","2.00","","2","",""
"23","6036","175","no","0.00","","0","未回答問題，僅寫 'no'",""
"24","5690","143","Can access memory without telling CPU, can let memory access be more efficient.","2.00","","2","",""
"25","5592","142","can directly access the memory without the help from CPU","2.00","","2","",""
"26","5238","139","一些裝置不需要透過 CPU 慢慢 copy memory，CPU 可以呼叫 DMA controller 進行 copy 一段 memory，完成後再通知 CPU，就不用佔用 CPU 資源慢慢地複製","2.00","","2","",""
"27","5702","122","DMA是一項技術在獲取memory時不用通過CPU。","2.00","","2","",""
"28","4875","135","dma can transfer data without intervention of cpus","2.00","","2","",""
"29","4518","119","原本 cpu 從 memory 資料 要不斷輪詢來知道進度進而拖慢 CPU 執行速度，DMA 接手了 CPU  從 memory 中取資料的過程 ，來達到讓 CPU 不需要一直等待 block 和加速整個系統的目的。 ","2.00","","2","",""
"30","4525","141","dma allow i/o device directly access memory to read/write data to/from the memory","2.00","","2","",""
"31","2866","231","DMA is when an I/O device has directly access to the memory in order to transfer data to/from it. This helps save a lot of time and CPU utilization as the transmission of data does not need the intervention of the OS to process the communication between the memory and the device. ","2.00","","2","",""
"32","5722","115","不透過cpu直接運算I/O設備","2.00","","2","",""
"33","4894","172","讀取需求極大時，可以和CPU要求直接讀取記憶體的(權限)，這樣可以不用對CPU一直提出請求
如: 電腦螢幕輸出","2.00","","2","",""
"34","4156","215","Device可以直接access OS中的memory。","2.00","","2","",""
"35","3883","170","在沒有CPU參與的情況下，裝置可以直接和記憶體傳輸資料","2.00","","2","",""
"36","5597","120","DMA是一種資料傳遞的方法，資料傳遞不需要經過CPU，可降低CPU的使用率並提升效能，可大量快速地傳遞資料。","2.00","","2","",""
"37","3884","103","Direct memory access is a technique that the process (or a device) could access the main memory by it self. Doesn't need to be handled by CPU. It could increase the performance of system in the scenario that frequently accesses memory such as swapping pages.","2.00","","2","",""
"38","3520","97","DMA can access the data directly without CPU utilization ","2.00","","2","",""
"39","4554","183","device可以直接讀寫記憶體，不須透過CPU，提升CPU利用率","2.00","","2","",""
"40","4556","230","DMA allows devices to access data directly to/from the main memory without involving the CPU.","2.00","","2","",""
"41","5292","193","it will not concerning CPU, it only goes straight forward to memory.","2.00","","2","",""
"42","4564","232","allow device access to system memory directly  ，mamory 中的資料可以直接傳送給device","2.00","","2","",""
"43","3138","130","device can directly access system memory without CPU to deal with it","2.00","","2","",""
"44","6107","140","不分配記憶體直接存取","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","描述不精確，「不分配記憶體」非 DMA 核心概念，未說明不需 CPU 介入",""
"45","4199","106","DMA可以讓各個device與main memory之間可以不需要CPU介入就能transfer data。","2.00","","2","",""
"46","6431","173","Direct memory access is a technique that allows drives to read and write directly to main memory without the CPU. This allows hard disks to read and write to main memory and high speeds. This improves CPU uiltization.","2.00","","2","",""
"47","6117","177","Direct memory access is a technique that can transfer data between devices without evolving the cpu.
DMA contoller can access the memory of the cpu independently, and therefore transfer a great amount of data at high speed to reduce cpu usage and improve the performance of cpu.","2.00","","2","",""
"48","5778","96","DMA is the technique that allows devices to access from/to the memory without the help of cpu.","2.00","","2","",""
"49","3566","165","讓CPU不用去處理memory and disk的IO，可以不用在這部分消耗CPU的資源，交由dma controler處理，等到dma controler處理完會通知CPU","2.00","","2","",""
"50","4956","148","指不需要透過cpu, 就可以將例如hard device等等的數據傳送到memory, 進而增加CPU真正在工作的時間,而不是浪費在IO","2.00","","2","",""
"51","6740","161","一種不用藉由CPU，device直接和OS溝通的技術。","2.00","","2","",""
"52","6456","196","DMA allow some hardware to read or write data from or to the memory without the need of CPU","2.00","","2","",""
"53","4612","154","a technique to transfer data between devices without involving CPU. 
允許各種設備直接訪問memory不需要cpu干預
可以高速交換資料，從而降低cpu使用率，提升系統性能","2.00","","2","",""
"54","4613","116","DMA is a techniqe that allows device to transfer data directly to/from main memory without CPU involvement","2.00","","2","",""
"55","5598","100","external devices like network card or usb can transfer data with memory directly without cpu helping. DMA contorller helps transfer data between devices and memory, meanwhile cpu could do other things. DMA controller notifies cpu when data is done transfering.","2.00","","2","",""
"56","2225","168","DMA is a technique on computers for data transfer between  I/O device and memory without CPU intervene. Then CPU can run other process when data transfer, so CPU performance will improve.","2.00","","2","",""
"57","6305","118","DMA是不完全經由CPU搬運及操作，直接由硬體進行memory access，可以節省cpu消耗，讓他去運算其他process","2.00","","2","",""
"58","2359","203","It allows devices to access main memory directly and interrupts CPU when DMA finishs its work. It will help  the CPU utilization.","2.00","","2","",""
"59","4034","192","不需要透過stack暫存現在的pointer即可使用memory","2.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","概念錯誤：DMA 與 stack/pointer 暫存無關，未正確描述 DMA 核心",""
"60","6601","181","直接記憶體存取(DMA)是指IO裝置直接可存取主記憶體傳輸的技術，只須裝置傳輸完成再以中斷通知CPU，CPU過程不須持續參與及處理。","2.00","","2","",""
"61","2850","223","DMA能讓資料的轉輸不用透過CPU，並且能讓外部裝置像是硬碟可以不用透過CPU的幫助直接讀取或是改寫主記憶體。DMA能大幅降低CPU的使用率並減少資料傳輸所需的時間。","2.00","","2","",""
"62","2405","195","裝置直接跟記憶體傳送資料，不用透過CPU，可減少CPU負擔，增加I/O傳輸效率","2.00","","2","",""
"63","2294","91","The DMA allow the directly reading and writing for the devices to memory. It allow CPU no need  to help with the data transfer, can save CPU times.","2.00","","2","",""
"64","5168","199","With DMA devices on a computer can directly access memory without CPU intervention. Without DMA these devices would ask a CPU to receive memory for them (which wastes CPU resources)","2.00","","2","",""
"65","5636","146","其他的程式要存取記憶體的內容進行讀寫時，不需要受到CPU的影響，可以直接進行","2.00","","2","",""
"66","6626","150","設備直接存取記憶體。設備傳送資料不需要經過 CPU 則直接可以讀寫記憶體，以增加效能。
如音效卡，網路卡，硬碟。DMA 暫存器獨立於 CPU 記憶體，快速讀寫。","2.00","","2","",""
"67","5546","112","DMA is a technique that allows transfer data directly to or from the main memory without CPU intervention, saving CPU time.","2.00","","2","",""
"68","4074","216","DMA means that if I/O devices need to communicate/get data from the memory, it can access the memory directly instead of accessing through the OS","2.00","","2","",""
"69","5188","153","DMA是直接記憶體存取，可以讓裝置直接與主記憶體(RAM)傳輸資料,不須經過CPU逐筆介入.
DMA可以直接讀寫記憶體,可以減少CPU負擔增加使用效率,提升效能.","2.00","","2","",""
"70","4461","99","直接去對整個記憶題存取，而不透過分頁。","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","提到直接存取但混淆分頁概念，未說明不需 CPU 介入之核心",""
"71","5206","128","DMA is that cpu allow device to directly access memory and transfer data from memory to device register(or in reverse direction) let cpu do not need to use cpu resource to transfer data.","2.00","","2","",""
"72","4090","174","the hardware  used to transfer data between I/O and memory, so data transfer no need to handle by CPU.","2.00","","2","",""
"73","3455","129","It didn't require to use virtual memory address ","0.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","0","觀念錯誤：DMA 與 virtual memory address 無直接關聯",""
"74","5585","145","Direct Memory Access let devices access memory/ data transfer between devices directly without involving CPU. This makes data transfer faster, reduce CPU usage and improve system performance. ","2.00","","2","",""
"75","5234","224","computer transfer data between devices, 不經過processors干預，可以節省processor干預的時間，可用來傳大量資料","2.00","","2","",""
"76","4523","132","一種能讓裝置直接存取記憶體，不需要 CPU 介入的技術","2.00","","2","",""
"77","4535","227","DMA is a hardware that helps CPU to access the memory without occupying the resource of CPU.
It is because CPU only need to give DMA an instruction, then DMA will access the memory. 
After that, DMA will send an interrupt signal to CPU which informs CPU.
In the period of time(DMA working), CPU can deal with other tasks.","2.00","","2","",""
"78","6115","121","Direct Memory Access is when a device is able to exchange data with the OS without involving the CPU (device tells OS directly about the memory addresses) ","2.00","","2","",""
"79","3933","205","DMA is to let devices directly transfer data to memory ,it can reduce the use of CPUs.","2.00","","2","",""
"80","3125","190","device能不透過CPU直接access memory，可以減少memory usage和省下使用CPU的時間","2.00","","2","",""
"81","4967","226","The device can access system memory directly.
The device can use DMA to transfer data without processing.
","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","提到直接存取但未說明不需 CPU 介入，敘述不完整",""
"82","6144","211","當 CPU 需要使用 I/O 設備的資料時，CPU 會將所需資料的資訊，寫入 DMA，交由他和 I/O 設備互動以及將資料搬入記憶體。此時資料的移動就不需要 CPU 來管理，他可以做其他事情，而 DMA 在完成之後會發送 interrupt 通知 CPU 資料準備完成。","2.00","","2","",""
"83","4230","164","DMA是一個不用透過CPU能讓device 和memory 進行資料交換的方式不用一直浪費CPU去執行搬資料","2.00","","2","",""
"84","3959","94","DMA 可以不需要透過 OS 就直接與 memory 交流並快速傳輸數據。","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU","1","強調不需 OS 而非不需 CPU，核心概念偏差",""
"85","3958","158","A technique to transfer data between devices and system memory directly without involving of CPU.","2.00","","2","",""
"86","6460","110","transfer the data between devices without involving the CPU","2.00","","2","",""
"87","3976","207","DMA is a technique used by computer to transfer data between without involving CPU. DMA allows device such as hard drives, sound cards ,and network cards to read/write data directly to/from the main memory.Without using CPU, it can reduce CPU usage and improve system performance.","2.00","","2","",""
"88","3964","149","DMA is a directed data transfer, ","0.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","0","回答不完整，僅 'DMA is a directed data transfer'，未說明 DMA 核心概念",""
"89","4259","117","DMA是一個方法讓device在不受CPU介入的情況下，可以直接對memory去做讀/寫，減少CPU time","2.00","","2","",""
"90","3984","95","The Direct Memory Access is a unit that a process can directly access memory without CPU sceduling. It helps reduce the loading and time for CPU to manage the memory for processes.","2.00","","2","",""
"91","4266","113","DMA allows hardware to access memory without CPU, which decrease the utilization of CPU and save the latency and waiting time of CPU, increase the efficient of the process.","2.00","","2","",""
"92","6262","156","由I/O controller搬運資料，是RAM和CPU之間的橋樑","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","描述為 RAM 與 CPU 間的橋樑不精確，未正確說明 DMA 讓 device 直接存取記憶體",""
"93","5414","101","directly access to memory rather than using process","1.00","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1","提到直接存取但說明模糊，未提及不需 CPU 介入",""
"94","4377","92","是一種I/O技術，讓device可以在沒有CPU逐筆搬運data的情況下，直接在memory和device之間傳輸資料。CPU的工作是設定DMA參數並啟動DMA，之後DMA controller取得bus完成bulk transfer。完成之後會發送interrupt通知CPU，可以降低CPU在I/O的overhead，適合大量資料傳輸","2.00","","2","",""
"95","5384","194","DMA是可以協助I/O的一種device，當要執行I/O時，CPU可以將所需要的內容告訴DMA，而DMA會負責處裡I/O，雖然可能會跟CPU搶bus，但是用DMA相較polling跟interrupt等方式，會更快速","1.50","Direct Memory Access (DMA) is a technique used by computers to transfer data between devices without involving the CPU. DMA allows devices like hard drives, sound cards, and network cards to read or write data directly to or from the main memory, without the need for the CPU to intervene in every transfer, which would waste a significant amount of CPU time. DMA controllers can access the memory independently of the CPU and transfer large amounts of data at high speed, thereby reducing CPU usage and improving system performance.","1.5","描述 DMA 為 device 而非技術/機制，核心概念略偏差但整體方向正確",""
"96","5395","111","A techique of accessing memory without the control from the cpu.","2.00","","2","",""
"97","4297","163","DMA 機制可以使 process 在需要存取記憶體時不需要處理器的資源，可以增加整體的吞吐量。然而這樣的機制需要特別的硬體支援。","2.00","","2","",""
"98","5401","209","DMA means that certain device such as internet  cards can dirrectly access the memory without involving cpu ,since these devices need to frequently interact with memory , if cpu is involved , it will waste a lot of time  . ","2.00","","2","",""
"99","4673","182","DMA是device存取memory的一種方式，device可以不用經過CPU就能存取memory，好處是省下的CPU資源可以拿去執行其他程式用。","2.00","","2","",""
"100","6215","176","the device can access the system memory bus directly without the help from OS or CPU.","2.00","","2","",""
"101","5363","136","DMA可以讓周邊設備和system直接傳輸資料不需要透過CPU，解放CPU節省時間","2.00","","2","",""
"102","5058","102","不用透過CPU，直接傳輸至記憶體","2.00","","2","",""
"103","5885","188","DMA是一種資料的傳輸方式，device可以直接將資料傳送到memory中，不需要cpu傳送資料，傳送完成後再發送interrupt告知cpu。","2.00","","2","",""
"104","5065","202","硬體設備可以不用透過 CPU 直接存取 System Memory。","2.00","","2","",""
"105","5430","123","DMA is technique used by computer to transfer data between device without involving the CPU.","2.00","","2","",""
"106","5071","228","DMA is used to allow network / storage devices to communicate with the memory without the intervention of the CPU. It saves a lot of cpu utilization by using fast bus to write or read data in the memory.","2.00","","2","",""
"107","6547","104","DMA是一種可以讓裝置不須CPU介入就可以在主記憶體間傳輸資料的技術，由於不需要使用CPU,因此讓系統更有效率。","2.00","","2","",""
"108","3698","105","他能夠讓devices之間的data transfer不需要透過cpu的幫助，比如能夠讓hard drives、sound cards、network cards直接access memory。讓devices之間不需要cpu介入就能夠高效傳輸資料，減少了cpu usage，大大提升了效率，使cpu能夠花費精力去做更多其他的事情","2.00","","2","",""
"109","3701","109","DMA is used to transfer data between I/O device and memory. By that, CPU doesn't waste time to transfer data.","2.00","","2","",""
"110","6557","90","Devices transfer data without involving the CPU, which makes less CPU utilization and faster data transfer.","2.00","","2","",""
"111","5100","131","some device can direct control other device's memory without ask cpu to handle it.","2.00","","2","",""
"112","6256","206","可以不用透過CPU, 直接讀寫記憶體","2.00","","2","",""
"113","3336","220","一個hardware device用來做 storage device 與 memory 之間的 data 傳輸，以此提高cpu utilization . ","2.00","","2","",""
"114","6259","208","其他 bus 上的裝置不透過 CPU 支援，直接存取記憶體。","2.00","","2","",""
"115","3725","147","let devices can access the data to and from main memory independently, without intervent of CPU, it can keep up efficiency of CPU and performance. ","2.00","","2","",""
"116","5123","160","讓I/O device不需要透過CPU就可以直接與memory傳輸data。","2.00","","2","",""
"117","5485","201","用於device寫入data，不須用CPU的介入，常用於大量data傳輸速度快","2.00","","2","",""
"118","5124","108","DMA 可以在做 I/O 時幫助 translate between logical address and physical address. 並且不需要 CPU 介入","2.00","","2","",""
"119","5125","180","it describes the relation between memory and device. DMA means device can access the memory directly. no need to pass processor.","2.00","","2","",""
"120","5948","162","是指我可以直接存取Memory不需要透過CPU,例如某程式在執行過程中如果有一個I/O需求,會透過O.S.發出一個interrupt 告訴CPU他要的資料,CPU會直接透過disk 中的general register 將I/O需求完成並送到記憶體中,之後只要發出一個interrupt告訴O.S.他完成了,這樣可以增加CPU的使用率","2.00","","1.5","開頭描述正確，但後續舉例描述的是 PIO (CPU 親自搬資料) 而非 DMA 流程",""
"121","2615","222","DMA is when a seperate entity like a drive can directly access the memory without the help of OS, this can decrease CPU load and result in a more efficient system.","2.00","","2","",""
"122","4405","167","device可以直接access到memory，不需要CPU介入，可節省CPU資源","2.00","","2","",""
"123","6590","213","the device can access the memory without using CPU","2.00","","2","",""
